index,text,url,type
140,Sebastian Raschka - https://www.youtube.com/c/SebastianRaschka,https://www.youtube.com/c/SebastianRaschka,custom
141,Rework - https://www.youtube.com/c/Re-workCo/videos,https://www.youtube.com/c/Re-workCo/videos,custom
142,TVAIHub - https://www.youtube.com/channel/UCVlPeQjsKct9bXoC1Qlp1qA/videos ,https://www.youtube.com/channel/UCVlPeQjsKct9bXoC1Qlp1qA/videos,channel
144,Ritvik - https://www.youtube.com/c/ritvikmath,https://www.youtube.com/c/ritvikmath,custom
145,OpenMinded - https://www.youtube.com/c/OpenMinedOrg/videos ,https://www.youtube.com/c/OpenMinedOrg/videos,custom
146,GeeksLesson - https://www.youtube.com/c/GeeksLesson/videos ,https://www.youtube.com/c/GeeksLesson/videos,custom
147,AI Tech North - https://www.youtube.com/channel/UCDMsGkE4ejeakMo7QtJD7Tw/videos,https://www.youtube.com/channel/UCDMsGkE4ejeakMo7QtJD7Tw/videos,channel
148,Databricks - https://www.youtube.com/c/Databricks/videos      https://vimeo.com/databricks,https://www.youtube.com/c/Databricks/videos,custom
149,Spacy/Explosion - https://www.youtube.com/c/ExplosionAI/videos,https://www.youtube.com/c/ExplosionAI/videos,custom
150,fwdays - https://www.youtube.com/user/fwdays/videos,https://www.youtube.com/user/fwdays/videos,user
151,EdgeDB - https://www.youtube.com/c/EdgeDB/videos ,https://www.youtube.com/c/EdgeDB/videos,custom
152,ML Trainings- https://www.youtube.com/channel/UCeq6ZIlvC9SVsfhfKnSvM9w/videos ,https://www.youtube.com/channel/UCeq6ZIlvC9SVsfhfKnSvM9w/videos,channel
153,ODS.AI  = https://www.youtube.com/channel/UCM9ECBAZtlLeEr-m3ldZ7Tw/playlists ,https://www.youtube.com/channel/UCM9ECBAZtlLeEr-m3ldZ7Tw/playlists,channel
154,UCL AI - https://www.youtube.com/c/UCLCentreforArtificialIntelligence/videos ,https://www.youtube.com/c/UCLCentreforArtificialIntelligence/videos,custom
155,NLP Zurich - https://www.youtube.com/channel/UCLLX-5j9UNYassOwS0nveDQ/videos ,https://www.youtube.com/channel/UCLLX-5j9UNYassOwS0nveDQ/videos,channel
156,PyCaret - https://www.youtube.com/channel/UCxA1YTYJ9BEeo50lxyI_B3g,https://www.youtube.com/channel/UCxA1YTYJ9BEeo50lxyI_B3g,channel
157,MadewithML - https://www.youtube.com/c/MadeWithML/videos,https://www.youtube.com/c/MadeWithML/videos,custom
158,MLConf - https://www.youtube.com/channel/UCjeM1xxYb_37bZfyparLS3Q/videos,https://www.youtube.com/channel/UCjeM1xxYb_37bZfyparLS3Q/videos,channel
159,Deepest - https://www.youtube.com/channel/UC5dfn9m310oyt-cbeegfvZw/videos ,https://www.youtube.com/channel/UC5dfn9m310oyt-cbeegfvZw/videos,channel
160,DS Portugal - https://www.youtube.com/channel/UCHh0Dt0uUKKJtdBvgGJB66A,https://www.youtube.com/channel/UCHh0Dt0uUKKJtdBvgGJB66A,channel
161,Artificial Images - https://www.youtube.com/user/bustbright/videos ,https://www.youtube.com/user/bustbright/videos,user
162,ML4ALL - https://www.youtube.com/c/ML4ALL,https://www.youtube.com/c/ML4ALL,custom
163,Jeff Heaton - https://www.youtube.com/c/HeatonResearch/videos ,https://www.youtube.com/c/HeatonResearch/videos,custom
164,Analytcsindiamagazine - https://www.youtube.com/c/Analyticsindiamagazine/videos,https://www.youtube.com/c/Analyticsindiamagazine/videos,custom
165,WeCNLP - https://www.youtube.com/channel/UCa8JYaJrsUbMO8kWJt2B7LQ/videos,https://www.youtube.com/channel/UCa8JYaJrsUbMO8kWJt2B7LQ/videos,channel
166,MLT - https://www.youtube.com/c/MLTOKYO/videos,https://www.youtube.com/c/MLTOKYO/videos,custom
167,Sentdex - https://www.youtube.com/c/sentdex/videos ,https://www.youtube.com/c/sentdex/videos,custom
168,Matroid - https://www.youtube.com/channel/UCR85FcguqcxLQ7XEg1byAtQ/videos,https://www.youtube.com/channel/UCR85FcguqcxLQ7XEg1byAtQ/videos,channel
169,Deep Learning Indaba - https://www.youtube.com/c/DeepLearningIndaba/videos ,https://www.youtube.com/c/DeepLearningIndaba/videos,custom
